"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","1","0","0"
"","","admin新增客户","0","0","5","0","0"
"","","admin删除骑手","0","0","1","0","0"
"","","admin充值接口","0","0","1","0","0"
"","","admin客户钱包列表","0","0","2","0","0"
"","","admin登录接口","0","0","2","0","0"
"","","检查用户手机号，查询用户昵称信息","0","0","3","0","0"
"","","骑手登录接口","0","0","2","0","0"
"","","骑手扣减用户金额","1","0","0","0","0"
"","","admin新增骑手","0","0","2","0","0"
"","","admin骑手列表","0","0","3","0","0"
"","","admin充值记录","0","0","1","0","0"
"","","判断金额是否足够，同时计算出余额和优惠金额的扣除明细","0","0","2","0","0"
"","","admin骑手信息编辑","0","0","1","0","0"
"","","admin修改客户姓名和备注","0","0","1","0","0"
